**************************************************
START LOG TRACE: 14/10/2021 06:28:37.783
**************************************************

14/10/2021 06:28:37.799: Start update interface for slab 148109.

14/10/2021 06:28:38.485: 
|Order Code                                        |Piece Code                                        |Waste|Small|Last |Pick X  |Pick Y  |Pick R  |Pick L  |Pick W  |Pos X   |Pos Y   |Rot     |Len     |Width   |Thick   |Slab Code         |Unique ID                                         |
|                                       OFF00090787|                                   _SP00019867_148|    0|    0|    0|-2469.56| 1485.90|    0.00|  499.80|  174.93|-2469.56| 1485.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611648|
|                                       OFF00090787|                                   _SP00019867_149|    0|    0|    0|-2469.56| 1664.90|    0.00|  499.80|  174.93|-2469.56| 1664.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611649|
|                                       OFF00090787|                                   _SP00019867_150|    0|    0|    0|-2469.56| 1843.90|    0.00|  499.80|  174.93|-2469.56| 1843.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611650|
|                                       OFF00090787|                                   _SP00019867_151|    0|    0|    0|-2469.56| 2022.90|    0.00|  499.80|  174.93|-2469.56| 2022.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611651|
|                                       OFF00090787|                                   _SP00019867_152|    0|    0|    0|-2469.56| 2201.90|    0.00|  499.80|  174.93|-2469.56| 2201.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611652|
|                                       OFF00090787|                                   _SP00019867_153|    0|    0|    0|-2469.56| 2380.90|    0.00|  499.80|  174.93|-2469.56| 2380.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611653|
|                                       OFF00090787|                                   _SP00019867_154|    0|    0|    0|-1933.56|  948.90|    0.00|  499.80|  174.93|-1933.56|  948.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611654|
|                                       OFF00090787|                                   _SP00019867_155|    0|    0|    0|-1933.56| 1127.90|    0.00|  499.80|  174.93|-1933.56| 1127.90|    0.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611655|
|                                       OFF00090787|                                   _SP00019867_156|    0|    0|    0|-1933.56| 1306.90|    0.00|  499.80|  174.93|-1933.56| 1306.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611656|
|                                       OFF00090787|                                   _SP00019867_157|    0|    0|    0|-1933.56| 1485.90|    0.00|  499.80|  174.93|-1933.56| 1485.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611657|
|                                       OFF00090787|                                   _SP00019867_158|    0|    0|    0|-1933.56| 1664.90|    0.00|  499.80|  174.93|-1933.56| 1664.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611658|
|                                       OFF00090787|                                   _SP00019867_159|    0|    0|    0|-1933.56| 1843.90|    0.00|  499.80|  174.93|-1933.56| 1843.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611659|
|                                       OFF00090787|                                   _SP00019867_160|    0|    0|    0|-1933.56| 2022.90|    0.00|  499.80|  174.93|-1933.56| 2022.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611660|
|                                       OFF00090787|                                   _SP00019867_161|    0|    0|    0|-1933.56| 2201.90|    0.00|  499.80|  174.93|-1933.56| 2201.90|  180.00|  532.00|  175.00|   15.00|SLAB00000000041917|                                            611661|
